,C0,C0s,C1,C1s,C1_p1,C1_p1s,C1_p2,C1_p2s,C1_p3,C1_p3s,C1_p4,C1_p4s,C1_p5,C1_p5s,C1_p6,C1_p6s,C1_p7,C1_p7s,C1_p8,C1_p8s,C1_p9,C1_p9s,C1_p10,C1_p10s
gene_173,56,M,9.719,L,9.719,L,9.719,L,9.719,L,86.634,H,22.231,LM,9.719,L,9.719,L,9.719,L,9.719,L,9.719,L
gene_174,31,M,18.921,L,18.921,L,18.921,L,18.921,L,18.921,L,93.298,H,18.921,L,97.822,H,18.921,L,18.921,L,57.886,M
gene_175,47,M,12.985,L,12.985,L,12.985,L,12.985,L,12.985,L,12.985,L,12.985,L,21.891,LM,91.088,H,12.985,L,12.985,L
gene_176,40,M,80.098,H,80.098,H,80.098,H,80.098,H,80.098,H,26.928,LM,80.098,H,80.098,H,80.098,H,62.178,M,80.098,H
gene_177,36,M,26.34,LM,26.34,LM,71.935,MH,26.34,LM,26.34,LM,26.34,LM,26.34,LM,26.34,LM,26.34,LM,26.34,LM,26.34,LM
gene_178,51,M,9.825,L,9.825,L,87.867,H,9.825,L,9.825,L,9.825,L,9.825,L,9.825,L,9.825,L,9.825,L,9.825,L
gene_179,49,M,12.3,L,67.725,M,12.3,L,12.3,L,97.665,H,12.3,L,12.3,L,12.3,L,12.3,L,12.3,L,12.3,L
gene_180,52,M,75.799,MH,75.799,MH,75.799,MH,75.799,MH,24.499,LM,75.799,MH,75.799,MH,75.799,MH,97.08,H,75.799,MH,75.799,MH
gene_181,60,M,2.113,L,2.113,L,2.113,L,43.112,M,2.113,L,2.113,L,2.113,L,2.113,L,86.584,H,2.113,L,2.113,L
gene_182,65,M,11.672,L,66.696,M,11.672,L,11.672,L,11.672,L,11.672,L,80.56,H,11.672,L,11.672,L,11.672,L,11.672,L
gene_183,49,M,60.941,M,60.941,M,60.941,M,60.941,M,60.941,M,90.489,H,60.941,M,22.718,LM,60.941,M,60.941,M,60.941,M
gene_184,42,M,97.848,H,40.557,M,97.848,H,97.848,H,97.848,H,97.848,H,97.848,H,97.848,H,97.848,H,97.848,H,97.848,H
gene_185,48,M,9.133,L,9.133,L,9.133,L,75.795,MH,9.133,L,9.133,L,9.133,L,9.133,L,9.133,L,9.133,L,70.743,MH
gene_186,62,M,89.053,H,89.053,H,77.06,MH,89.053,H,89.053,H,26.167,LM,55.556,M,89.053,H,89.053,H,89.053,H,89.053,H
gene_187,65,M,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,22.285,LM,7.366,L
gene_188,62,M,26.982,LM,26.982,LM,37.183,M,99.902,H,43.344,M,26.982,LM,26.982,LM,71.225,MH,95.594,H,26.982,LM,26.982,LM
gene_189,37,M,10.671,L,66.538,M,20.705,LM,10.671,L,10.671,L,10.671,L,10.671,L,10.671,L,10.671,L,74.458,MH,10.671,L
gene_190,69,M,1.481,L,1.481,L,23.576,LM,1.481,L,1.481,L,1.481,L,1.481,L,1.481,L,1.481,L,1.481,L,1.481,L
gene_191,55,M,17.495,L,27.593,LM,17.495,L,17.495,L,17.495,L,17.495,L,96.011,H,17.495,L,17.495,L,17.495,L,92.308,H
gene_192,33,M,77.447,MH,80.765,H,92.293,H,77.447,MH,77.447,MH,77.447,MH,77.447,MH,77.447,MH,77.447,MH,90.653,H,81.819,H
gene_193,59,M,16.695,L,16.695,L,16.695,L,16.695,L,16.695,L,16.695,L,23.014,LM,27.501,LM,16.695,L,16.695,L,16.695,L
gene_194,69,M,25.474,LM,76.718,MH,25.474,LM,25.474,LM,25.474,LM,83.426,H,25.474,LM,25.474,LM,25.474,LM,73.611,MH,8.064,L
gene_195,46,M,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH,76.373,MH
gene_196,57,M,20.191,LM,20.191,LM,20.191,LM,20.191,LM,0.246,L,16.652,L,20.191,LM,20.191,LM,20.191,LM,20.191,LM,12.805,L
gene_197,42,M,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,87.764,H,2.913,L
gene_198,38,M,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L,10.734,L
gene_199,58,M,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L,17.66,L
gene_200,30,M,91.764,H,91.764,H,73.139,MH,91.764,H,91.764,H,25.61,LM,72.658,MH,91.764,H,91.764,H,91.764,H,91.764,H
gene_201,62,M,49.765,M,74.395,MH,49.765,M,49.765,M,49.765,M,49.765,M,49.765,M,49.765,M,49.765,M,49.765,M,77.008,MH
gene_202,51,M,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM,24.319,LM
gene_203,33,M,96.663,H,21.828,LM,96.663,H,8.622,L,96.663,H,78.357,MH,96.663,H,96.663,H,21.057,LM,96.663,H,96.663,H
gene_204,34,M,25.805,LM,25.805,LM,82.023,H,25.805,LM,25.805,LM,40.117,M,25.805,LM,0.638,L,83.028,H,25.805,LM,70.248,MH
gene_205,55,M,21.629,LM,21.629,LM,21.629,LM,21.629,LM,21.629,LM,21.629,LM,92.93,H,21.629,LM,21.629,LM,21.629,LM,21.629,LM
gene_206,64,M,21.436,LM,21.436,LM,21.436,LM,21.436,LM,21.436,LM,21.436,LM,21.436,LM,21.436,LM,18.967,L,95.974,H,17.088,L
gene_207,41,M,15.8,L,15.8,L,15.8,L,97.822,H,15.8,L,15.8,L,15.8,L,50.83,M,15.8,L,99.527,H,15.8,L
gene_208,69,M,81.377,H,81.377,H,81.377,H,20.157,LM,81.377,H,81.377,H,81.377,H,81.377,H,81.377,H,81.377,H,81.377,H
gene_209,34,M,87.865,H,33.726,M,70.613,MH,87.865,H,87.865,H,48.529,M,87.865,H,87.865,H,87.865,H,50.59,M,87.865,H
gene_210,64,M,10.567,L,10.567,L,10.567,L,10.567,L,10.567,L,76.545,MH,10.567,L,10.567,L,10.567,L,22.207,LM,10.567,L
gene_211,45,M,72.067,MH,21.172,LM,72.067,MH,72.067,MH,72.067,MH,72.067,MH,72.067,MH,83.177,H,90.115,H,2.123,L,72.067,MH
gene_212,33,M,82.821,H,22.391,LM,82.821,H,82.821,H,82.821,H,82.821,H,82.821,H,2.149,L,82.821,H,82.821,H,82.821,H
gene_213,40,M,2.634,L,2.634,L,27.394,LM,2.634,L,55.161,M,2.634,L,2.634,L,2.634,L,2.634,L,2.634,L,2.634,L
gene_214,48,M,15.637,L,15.637,L,15.637,L,15.637,L,94.176,H,15.637,L,15.637,L,15.637,L,94.677,H,15.637,L,15.637,L
gene_215,61,M,91.174,H,91.174,H,91.174,H,91.174,H,91.174,H,91.174,H,91.174,H,70.312,MH,91.174,H,91.174,H,21.16,LM
gene_216,64,M,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H,97.241,H
gene_217,35,M,26.798,LM,26.798,LM,68.578,M,26.798,LM,26.798,LM,77.744,MH,26.798,LM,72.319,MH,26.798,LM,26.798,LM,26.798,LM
gene_218,50,M,26.214,LM,26.214,LM,26.214,LM,26.214,LM,26.214,LM,26.214,LM,42.806,M,26.214,LM,94.206,H,26.214,LM,26.214,LM
gene_219,56,M,10.631,L,10.631,L,73.715,MH,85.697,H,25.039,LM,10.631,L,10.631,L,90.263,H,10.631,L,57.83,M,10.631,L
gene_220,43,M,6.518,L,73.091,MH,6.518,L,6.518,L,6.518,L,6.518,L,6.518,L,75.612,MH,6.518,L,6.518,L,76.963,MH
gene_221,64,M,80.103,H,27.221,LM,80.103,H,80.103,H,80.103,H,80.103,H,80.103,H,80.103,H,77.571,MH,25.967,LM,80.103,H
gene_222,41,M,77.547,MH,25.303,LM,77.547,MH,77.547,MH,77.547,MH,77.547,MH,28.917,LM,77.547,MH,77.547,MH,77.547,MH,77.547,MH
gene_223,30,M,38.76,M,38.76,M,76.909,MH,38.76,M,38.76,M,38.76,M,38.76,M,38.76,M,38.76,M,38.76,M,38.76,M
gene_224,31,M,28.522,LM,28.522,LM,28.522,LM,28.522,LM,28.522,LM,28.522,LM,28.522,LM,78.699,MH,28.522,LM,86.061,H,28.522,LM
gene_225,57,M,23.068,LM,23.068,LM,23.068,LM,16.47,L,23.068,LM,23.068,LM,23.068,LM,23.068,LM,23.068,LM,23.068,LM,23.068,LM
gene_226,52,M,91.473,H,91.473,H,91.473,H,91.473,H,78.604,MH,62.874,M,91.473,H,91.473,H,91.473,H,71.669,MH,91.473,H
gene_227,67,M,73.307,MH,32.304,M,73.307,MH,73.307,MH,73.307,MH,73.307,MH,3.191,L,73.307,MH,73.307,MH,73.307,MH,73.307,MH
gene_228,67,M,59.569,M,59.569,M,59.569,M,59.569,M,59.569,M,59.569,M,59.569,M,59.569,M,99.349,H,59.569,M,59.569,M
gene_229,66,M,78.423,MH,10.647,L,85.008,H,78.423,MH,78.423,MH,22.874,LM,78.423,MH,78.423,MH,78.423,MH,78.423,MH,78.423,MH
gene_230,31,M,9.141,L,9.141,L,9.141,L,25.652,LM,9.141,L,9.141,L,9.141,L,9.141,L,9.141,L,9.141,L,9.141,L
gene_231,59,M,6.824,L,96.233,H,6.824,L,26.41,LM,6.824,L,6.824,L,6.824,L,26.54,LM,6.824,L,6.824,L,77.399,MH
gene_232,58,M,35.045,M,35.045,M,35.045,M,35.045,M,89.238,H,35.045,M,35.045,M,10.044,L,35.045,M,35.045,M,91.284,H
gene_233,56,M,7.623,L,7.623,L,7.623,L,7.623,L,7.623,L,7.623,L,72.924,MH,7.623,L,7.623,L,72.132,MH,7.623,L
gene_234,58,M,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM,24.239,LM
gene_235,66,M,23.365,LM,6.417,L,23.365,LM,23.365,LM,23.365,LM,23.365,LM,38.835,M,9.438,L,23.365,LM,23.365,LM,23.365,LM
gene_236,55,M,8.207,L,8.207,L,8.207,L,8.207,L,8.207,L,72.884,MH,8.207,L,8.207,L,8.207,L,8.207,L,8.207,L
gene_237,44,M,45.634,M,45.634,M,45.634,M,45.634,M,45.634,M,86.252,H,45.634,M,45.634,M,45.634,M,45.634,M,45.634,M
gene_238,51,M,18.868,L,18.868,L,18.868,L,18.868,L,63.598,M,18.868,L,18.868,L,18.868,L,18.868,L,18.868,L,18.868,L
gene_239,38,M,9.115,L,9.115,L,9.115,L,9.115,L,74.18,MH,75.174,MH,20.031,LM,22.608,LM,9.115,L,9.115,L,20.06,LM
gene_240,53,M,74.014,MH,74.014,MH,74.014,MH,74.014,MH,74.014,MH,53.809,M,74.014,MH,74.014,MH,74.014,MH,74.014,MH,92.279,H
gene_241,30,M,39.498,M,39.498,M,39.498,M,39.498,M,39.498,M,72.245,MH,39.498,M,73.497,MH,39.498,M,26.982,LM,8.068,L
gene_242,36,M,78.603,MH,78.603,MH,78.603,MH,84.32,H,78.603,MH,78.603,MH,78.603,MH,99.01,H,78.603,MH,23.17,LM,78.603,MH
gene_243,43,M,20.99,LM,20.99,LM,20.99,LM,20.99,LM,76.185,MH,20.99,LM,20.99,LM,80.33,H,20.99,LM,20.99,LM,20.99,LM
gene_244,61,M,45.16,M,98.101,H,45.16,M,45.16,M,45.16,M,45.16,M,45.16,M,45.16,M,45.16,M,45.16,M,45.16,M
gene_245,58,M,28.82,LM,28.82,LM,8.804,L,28.82,LM,28.82,LM,28.82,LM,28.82,LM,28.82,LM,28.82,LM,89.368,H,82.675,H
gene_246,43,M,10.752,L,61.926,M,10.752,L,10.752,L,10.752,L,76.259,MH,10.752,L,10.752,L,27.923,LM,10.752,L,39.454,M
gene_247,54,M,26.081,LM,26.081,LM,56.89,M,26.081,LM,26.081,LM,26.081,LM,26.081,LM,84.455,H,9.609,L,18.518,L,26.081,LM
gene_248,31,M,24.38,LM,24.38,LM,24.38,LM,24.38,LM,24.38,LM,0.442,L,52.328,M,24.38,LM,24.38,LM,24.38,LM,24.38,LM
gene_249,36,M,56.673,M,56.673,M,75.83,MH,56.673,M,7.843,L,56.673,M,56.673,M,56.673,M,56.673,M,56.673,M,56.673,M
gene_250,69,M,86.343,H,86.343,H,86.343,H,86.343,H,86.343,H,86.343,H,76.92,MH,86.343,H,58.359,M,86.343,H,86.343,H
gene_251,41,M,4.32,L,4.32,L,55.943,M,42.905,M,4.32,L,4.32,L,71.629,MH,96.036,H,51.399,M,52.173,M,4.32,L
gene_252,45,M,18.699,L,18.699,L,18.699,L,93.08,H,18.699,L,37.941,M,18.699,L,18.699,L,18.699,L,18.699,L,97.824,H
gene_253,51,M,20.364,LM,20.364,LM,76.567,MH,20.364,LM,20.364,LM,20.364,LM,64.208,M,20.364,LM,20.364,LM,20.364,LM,90.802,H
gene_254,41,M,84.006,H,84.006,H,52.791,M,84.006,H,84.006,H,84.006,H,84.006,H,84.006,H,84.006,H,84.006,H,84.006,H
gene_255,49,M,34.411,M,34.411,M,34.411,M,82.937,H,34.411,M,34.411,M,34.411,M,34.411,M,34.411,M,34.411,M,85.84,H
gene_256,39,M,6.919,L,6.919,L,6.919,L,6.919,L,78.343,MH,20.601,LM,6.919,L,6.919,L,6.919,L,6.919,L,6.919,L
gene_257,31,M,70.393,MH,70.393,MH,70.393,MH,5.796,L,90.83,H,70.393,MH,70.393,MH,25.569,LM,70.393,MH,91.592,H,70.393,MH
gene_258,37,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M,30.176,M
gene_259,50,M,92.093,H,92.093,H,92.093,H,92.093,H,92.093,H,92.093,H,92.093,H,92.093,H,73.125,MH,92.093,H,92.093,H
gene_260,32,M,3.788,L,3.788,L,3.788,L,3.788,L,3.788,L,3.788,L,20.632,LM,3.788,L,3.788,L,3.788,L,28.162,LM
gene_261,46,M,3.756,L,3.756,L,92.837,H,3.756,L,3.756,L,3.756,L,3.756,L,3.756,L,3.756,L,3.756,L,27.565,LM
gene_262,43,M,97.931,H,66.022,M,23.168,LM,97.931,H,74.29,MH,12.322,L,97.931,H,97.931,H,8.783,L,97.931,H,97.931,H
gene_263,46,M,1.269,L,1.269,L,1.269,L,20.072,LM,1.269,L,1.269,L,1.269,L,1.269,L,1.269,L,1.269,L,1.269,L
gene_264,33,M,72.109,MH,72.109,MH,72.109,MH,72.109,MH,87.253,H,72.109,MH,72.109,MH,72.109,MH,26.602,LM,72.109,MH,72.109,MH
gene_265,66,M,7.257,L,7.257,L,84.973,H,7.257,L,7.257,L,7.257,L,23.629,LM,78.488,MH,7.257,L,7.257,L,7.257,L
gene_266,48,M,8.28,L,8.28,L,8.28,L,8.28,L,8.28,L,8.28,L,8.28,L,8.28,L,53.234,M,8.28,L,8.28,L
gene_267,63,M,59.849,M,59.849,M,59.849,M,59.849,M,59.849,M,17.459,L,59.849,M,59.849,M,59.849,M,59.849,M,76.487,MH
gene_268,69,M,22.424,LM,22.424,LM,87.508,H,17.317,L,22.424,LM,17.712,L,22.424,LM,22.424,LM,58.739,M,22.424,LM,22.424,LM
gene_269,43,M,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM,26.335,LM
gene_270,49,M,12.866,L,12.866,L,78.465,MH,12.866,L,39.44,M,12.866,L,24.396,LM,12.866,L,12.866,L,12.866,L,27.947,LM
gene_271,57,M,25.363,LM,25.363,LM,53.628,M,25.363,LM,25.363,LM,72.497,MH,25.363,LM,25.363,LM,25.363,LM,25.363,LM,25.363,LM
gene_272,47,M,98.904,H,98.904,H,98.904,H,98.904,H,98.904,H,78.981,MH,98.904,H,98.904,H,71.364,MH,24.927,LM,98.904,H
gene_273,42,M,5.185,L,74.305,MH,5.185,L,5.185,L,5.185,L,72.711,MH,5.185,L,5.185,L,5.185,L,5.185,L,5.185,L
gene_274,59,M,11.796,L,11.796,L,59.72,M,11.796,L,11.796,L,11.796,L,11.796,L,11.796,L,91.965,H,11.796,L,11.796,L
gene_275,65,M,23.41,LM,12.432,L,16.947,L,80.677,H,23.41,LM,23.41,LM,23.41,LM,77.544,MH,80.147,H,23.41,LM,23.41,LM
gene_276,66,M,25.94,LM,25.94,LM,25.94,LM,25.94,LM,1.04,L,25.94,LM,63.685,M,25.94,LM,25.94,LM,25.94,LM,25.94,LM
gene_277,55,M,74.572,MH,74.572,MH,74.572,MH,74.572,MH,74.572,MH,74.572,MH,74.572,MH,74.572,MH,74.572,MH,3.31,L,74.572,MH
gene_278,45,M,82.111,H,82.111,H,25.923,LM,82.111,H,82.111,H,70.481,MH,82.111,H,82.111,H,82.111,H,82.111,H,82.111,H
gene_279,68,M,2.366,L,2.366,L,74.042,MH,2.366,L,93.95,H,2.366,L,2.366,L,28.673,LM,2.366,L,2.366,L,2.366,L
gene_280,55,M,8.926,L,8.926,L,8.926,L,8.926,L,8.926,L,8.926,L,8.926,L,8.926,L,70.253,MH,8.926,L,8.926,L
gene_281,32,M,23.058,LM,23.058,LM,23.058,LM,23.058,LM,23.058,LM,23.058,LM,23.058,LM,82.408,H,44.403,M,92.189,H,96.469,H
gene_282,33,M,23.395,LM,23.395,LM,75.931,MH,23.395,LM,23.395,LM,23.395,LM,50.886,M,23.395,LM,23.395,LM,23.395,LM,23.395,LM
gene_283,59,M,23.02,LM,0.729,L,81.124,H,23.02,LM,72.173,MH,23.02,LM,0.587,L,50.067,M,23.02,LM,23.02,LM,23.02,LM
gene_284,32,M,4.438,L,4.438,L,27.77,LM,4.438,L,4.438,L,4.438,L,4.438,L,4.438,L,4.438,L,4.438,L,66.792,M
gene_285,30,M,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH,74.325,MH
gene_286,45,M,0.454,L,0.454,L,0.454,L,0.454,L,0.454,L,0.454,L,0.454,L,0.454,L,95.838,H,0.454,L,0.454,L
gene_287,50,M,0.114,L,0.114,L,85.225,H,0.114,L,0.114,L,0.114,L,0.114,L,90.449,H,72.861,MH,0.114,L,0.114,L
gene_288,47,M,26.878,LM,26.878,LM,26.878,LM,26.878,LM,26.878,LM,26.878,LM,26.878,LM,26.878,LM,59.788,M,26.878,LM,97.947,H
gene_289,49,M,23.865,LM,23.865,LM,23.865,LM,23.865,LM,23.865,LM,83.476,H,23.865,LM,23.865,LM,23.865,LM,23.865,LM,23.865,LM
gene_290,53,M,74.276,MH,74.276,MH,74.276,MH,74.276,MH,74.276,MH,12.075,L,74.276,MH,74.276,MH,74.276,MH,74.276,MH,74.276,MH
gene_291,57,M,72.552,MH,72.552,MH,72.552,MH,72.552,MH,17.272,L,72.552,MH,72.552,MH,21.014,LM,2.326,L,72.552,MH,72.552,MH
gene_292,46,M,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,25.395,LM,5.235,L
gene_293,44,M,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L,18.409,L
gene_294,69,M,20.788,LM,20.788,LM,16.091,L,20.788,LM,20.788,LM,75.363,MH,95.535,H,20.788,LM,68.111,M,20.788,LM,20.788,LM
gene_295,40,M,50.194,M,50.194,M,50.194,M,50.194,M,50.194,M,20.682,LM,50.194,M,50.194,M,70.948,MH,50.194,M,50.194,M
gene_296,61,M,28.516,LM,10.692,L,28.516,LM,28.516,LM,28.516,LM,28.516,LM,38.578,M,28.516,LM,28.516,LM,28.516,LM,28.516,LM
gene_297,47,M,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H,80.734,H
gene_298,44,M,15.298,L,58.327,M,24.633,LM,15.298,L,15.298,L,15.298,L,15.298,L,89.173,H,78.368,MH,80.22,H,71.95,MH
gene_299,32,M,8.903,L,8.903,L,8.903,L,88.142,H,8.903,L,8.903,L,8.903,L,8.903,L,8.903,L,8.903,L,8.903,L
gene_300,64,M,23.703,LM,23.703,LM,23.703,LM,23.703,LM,23.703,LM,23.703,LM,92.248,H,23.703,LM,23.703,LM,23.703,LM,23.703,LM
gene_301,58,M,73.518,MH,6.697,L,73.518,MH,73.518,MH,73.518,MH,8.991,L,73.518,MH,73.518,MH,73.518,MH,32.667,M,73.518,MH
gene_302,66,M,15.235,L,15.235,L,72.567,MH,15.235,L,40.725,M,15.235,L,15.235,L,15.235,L,15.235,L,15.235,L,15.235,L
gene_303,48,M,16.866,L,16.866,L,16.866,L,94.491,H,16.866,L,16.866,L,16.866,L,16.866,L,16.866,L,16.866,L,86.968,H
gene_304,57,M,9.897,L,9.897,L,9.897,L,9.897,L,9.897,L,23.728,LM,9.897,L,9.897,L,9.897,L,9.897,L,9.897,L
gene_305,34,M,3.481,L,3.481,L,3.481,L,3.481,L,3.481,L,33.874,M,3.481,L,3.481,L,3.481,L,3.481,L,3.481,L
gene_306,45,M,13.539,L,13.539,L,78.616,MH,13.539,L,27.298,LM,13.539,L,13.539,L,13.539,L,13.539,L,13.539,L,13.539,L
gene_307,38,M,23.906,LM,23.906,LM,67.642,M,18.297,L,92.069,H,94.057,H,75.82,MH,7.084,L,23.906,LM,23.906,LM,16.104,L
gene_308,31,M,25.559,LM,99.048,H,25.559,LM,25.559,LM,72.423,MH,25.559,LM,25.559,LM,25.559,LM,25.559,LM,25.559,LM,91.986,H
gene_309,67,M,10.844,L,10.844,L,98.817,H,34.878,M,10.844,L,10.844,L,10.844,L,10.844,L,86.633,H,10.844,L,10.844,L
gene_310,38,M,73.972,MH,66.138,M,85.439,H,73.972,MH,87.577,H,61.552,M,73.972,MH,73.972,MH,25.995,LM,73.972,MH,73.972,MH
gene_311,35,M,78.145,MH,78.145,MH,78.145,MH,97.368,H,78.145,MH,7.345,L,78.145,MH,78.145,MH,78.145,MH,78.145,MH,78.145,MH
gene_312,37,M,10.561,L,75.125,MH,10.561,L,10.561,L,10.561,L,21.013,LM,10.561,L,10.561,L,74.109,MH,74.553,MH,74.826,MH
gene_313,45,M,70.392,MH,70.392,MH,70.392,MH,70.392,MH,70.392,MH,70.392,MH,70.392,MH,70.392,MH,83.884,H,70.392,MH,70.392,MH
gene_314,51,M,88.864,H,88.864,H,88.864,H,88.864,H,76.526,MH,88.864,H,88.864,H,88.864,H,88.864,H,48.732,M,33.335,M
gene_315,36,M,22.016,LM,22.016,LM,22.016,LM,22.016,LM,22.016,LM,22.016,LM,22.016,LM,44.285,M,22.016,LM,22.016,LM,2.492,L
gene_316,69,M,16.377,L,16.377,L,80.663,H,16.377,L,16.377,L,16.377,L,16.377,L,24.457,LM,16.377,L,20.625,LM,16.377,L
gene_317,69,M,8.085,L,8.085,L,27.446,LM,8.085,L,8.085,L,76.847,MH,8.085,L,63.408,M,76.386,MH,8.085,L,72.391,MH
gene_318,35,M,28.895,LM,28.895,LM,76.616,MH,28.895,LM,28.895,LM,28.895,LM,28.895,LM,77.729,MH,28.895,LM,28.895,LM,28.895,LM
gene_319,46,M,6.425,L,6.425,L,6.425,L,6.425,L,6.425,L,88.163,H,82.782,H,78.742,MH,6.425,L,6.425,L,39.174,M
gene_320,57,M,3.101,L,3.101,L,3.101,L,3.101,L,3.101,L,3.101,L,64.799,M,3.101,L,98.829,H,3.101,L,3.101,L
gene_321,65,M,23.209,LM,53.618,M,72.303,MH,23.209,LM,94.354,H,14.668,L,87.916,H,81.502,H,73.566,MH,23.209,LM,23.209,LM
gene_322,49,M,23.95,LM,23.95,LM,95.241,H,23.95,LM,23.95,LM,23.95,LM,17.816,L,1.08,L,56.536,M,23.95,LM,23.95,LM
gene_323,66,M,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,27.614,LM,65.781,M
gene_324,42,M,21.319,LM,21.319,LM,21.319,LM,21.319,LM,21.319,LM,73.18,MH,21.319,LM,99.706,H,21.319,LM,78.58,MH,21.319,LM
gene_325,49,M,14.281,L,14.281,L,14.281,L,14.281,L,14.281,L,14.281,L,14.281,L,14.281,L,61.871,M,14.281,L,14.281,L
gene_326,49,M,7.487,L,7.487,L,7.487,L,7.487,L,7.487,L,73.123,MH,7.487,L,7.487,L,22.34,LM,7.487,L,7.487,L
gene_327,56,M,24.865,LM,24.865,LM,12.937,L,24.865,LM,24.865,LM,24.865,LM,24.865,LM,24.865,LM,24.865,LM,86.495,H,24.865,LM
gene_328,38,M,13.38,L,80.976,H,71.215,MH,13.38,L,13.38,L,13.38,L,13.38,L,13.38,L,13.38,L,13.38,L,13.38,L
gene_329,54,M,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H,84.146,H
gene_330,38,M,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L,11.124,L
gene_331,43,M,7.817,L,7.817,L,7.817,L,7.817,L,7.817,L,75.889,MH,7.817,L,7.817,L,7.817,L,73.566,MH,7.817,L
gene_332,68,M,70.037,MH,70.037,MH,20.486,LM,70.037,MH,70.037,MH,70.037,MH,32.363,M,12.61,L,70.037,MH,70.037,MH,70.037,MH
gene_333,65,M,2.591,L,2.591,L,2.591,L,2.591,L,2.591,L,2.591,L,2.591,L,28.414,LM,27.36,LM,81.58,H,20.107,LM
gene_334,62,M,24.407,LM,1.665,L,15.184,L,24.407,LM,24.407,LM,80.555,H,24.407,LM,24.407,LM,24.407,LM,24.407,LM,24.407,LM
gene_335,31,M,50.951,M,50.951,M,50.951,M,72.799,MH,50.951,M,27.992,LM,50.951,M,50.951,M,50.951,M,3.035,L,50.951,M
gene_336,35,M,99.401,H,99.401,H,21.24,LM,99.401,H,99.401,H,99.401,H,99.401,H,99.401,H,99.401,H,75.469,MH,99.401,H
gene_337,40,M,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM,20.138,LM
gene_338,61,M,26.815,LM,26.815,LM,26.815,LM,84.093,H,26.815,LM,77.505,MH,26.815,LM,26.815,LM,26.815,LM,10.008,L,26.815,LM
gene_339,63,M,59.056,M,59.056,M,59.056,M,59.056,M,59.056,M,59.056,M,59.056,M,82.345,H,59.056,M,21.495,LM,59.056,M
gene_340,53,M,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,4.543,L,26.577,LM
gene_341,58,M,0.53,L,0.53,L,71.584,MH,92.135,H,0.53,L,0.53,L,70.226,MH,0.53,L,0.53,L,0.53,L,0.53,L
gene_342,62,M,9.74,L,9.74,L,9.74,L,9.74,L,9.74,L,9.74,L,9.74,L,9.74,L,26.149,LM,28.888,LM,9.74,L
gene_343,32,M,85.168,H,85.168,H,33.463,M,85.168,H,85.168,H,36.8,M,85.168,H,21.537,LM,27.399,LM,85.168,H,27.502,LM
gene_344,33,M,22.506,LM,88.252,H,9.515,L,22.506,LM,6.357,L,74.929,MH,42.949,M,22.506,LM,22.506,LM,43.659,M,98.064,H
gene_345,64,M,4.171,L,78.667,MH,4.171,L,4.171,L,4.171,L,4.171,L,4.171,L,4.171,L,4.171,L,94.942,H,4.171,L
gene_346,31,M,49.766,M,49.766,M,87.146,H,49.766,M,49.766,M,49.766,M,49.766,M,49.766,M,49.766,M,49.766,M,49.766,M
